Country,ISO3166,MCC MNC,MNO,RAT,Bands (Main),Plan,Support,Supported Features,Date
Latvia,LVA,24701,LMT,LTE-M,B20,planP1,Validated,SMS,01/23/2024
Latvia,LVA,24701,LMT,LTE-M,B20,planX3,Guaranteed,PSM* | SMS,06/06/2024
La Reunion,REU,64700,Orange,LTE-M,B20,planX3,Guaranteed,PSM* and eDRX | SMS,10/22/2024
La Reunion,REU,64710,SFR,LTE-M,B20,plan01s,Validated,SMS,10/22/2024
Liechtenstein,LIE,22802,SUNRISE,LTE-M,B20,plan01s,Validated,PSM* and eDRX | SMS,01/30/2024
Liechtenstein,LIE,29505,FL1,LTE-M,B20,plan01s,Guaranteed,PSM and eDRX | SMS,09/04/2024
Liechtenstein,LIE,29505,FL1,LTE-M,B20,planP1,Validated,SMS,11/21/2024
Lithuania,LTU,24601,Telia,LTE-M,B8,plan01s,Validated,SMS,01/26/2024
Lithuania,LTU,24601,Telia,LTE-M,B8,planP1,Validated,SMS,01/16/2024
Lithuania,LTU,24601,Telia,LTE-M,B8,planX3,Validated,SMS,01/26/2024
Luxembourg,LUX,27001,Post,LTE-M,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,06/06/2024
Luxembourg,LUX,27001,Post,LTE-M,B20,planX3,Guaranteed,PSM* and eDRX | SMS,07/24/2024
Mayotte,YT,64700,Orange,LTE-M,B20,planX3,Guaranteed,PSM* or eDRX | SMS,10/29/2024
Mayotte,YT,64710,SFR,LTE-M,B20,plan01s,Validated,SMS,10/29/2024
